"ID_spec","Sample","Days_fromstart","Count","Treatment","Temp","Atrazine","mean_ar","sd_ar","mean_area","sd_area","mean_speed","sd_speed","mean_linearity","sd_linearity","N10","r1","a11"
"Spiro_C","2021-05-13 16:59:08",2.06189814814815,3,1,20,0,4.47333333333333,0.315330514434194,2977.45,1632.14773599083,28.0666666666667,5.99200578548897,0.31092151889659,0.187037837331009,24.5795346006707,0.0645872176101796,-4.43667003412682e-10
"Spiro_C","2021-05-14 16:28:33",3.04065972222222,12,1,20,0,5.7775,2.26745401877805,2643.03166666667,1064.72588864103,41.2775,11.1458448229904,0.593124390517877,0.351807601596121,24.5795346006707,0.0645872176101796,-4.43667003412682e-10
"Spiro_C","2021-05-15 17:31:19",4.08424768518519,18,1,20,0,6.83333333333333,2.92081576034545,2343.38722222222,1083.43273624273,46.1444444444444,9.84142578277703,0.385658369164433,0.40290777686967,24.5795346006707,0.0645872176101796,-4.43667003412682e-10
"Spiro_C","2021-05-16 17:52:27",5.09892361111111,18,1,20,0,5.48555555555556,2.10722628456915,2694.36,676.133744862048,44.9922222222222,15.3790585482358,0.819171303379514,0.259222858692026,24.5795346006707,0.0645872176101796,-4.43667003412682e-10
"Spiro_C","2021-05-18 17:38:33",7.08927083333333,26,1,20,0,4.94576923076923,0.630689610359474,2294.67384615385,541.443560102635,29.6288461538462,11.6640841310145,0.61025039703682,0.301862921708426,24.5795346006707,0.0645872176101796,-4.43667003412682e-10
"Spiro_C","2021-05-19 17:01:32",8.06356481481481,35,1,20,0,4.02028571428571,0.851774914048119,3181.35685714286,678.168624223363,33.2588571428571,14.3977170926155,0.605576478476404,0.301282515092559,24.5795346006707,0.0645872176101796,-4.43667003412682e-10
"Spiro_C","2021-05-20 16:00:01",9.02084490740741,46,1,20,0,5.57478260869565,3.14078457227945,1824.71130434783,612.515091977727,26.3017391304348,10.6977013739397,0.397051240462153,0.234346340781326,24.5795346006707,0.0645872176101796,-4.43667003412682e-10
"Spiro_C","2021-05-21 15:42:29",10.0086689814815,40,1,20,0,4.869,1.02685429520928,2173.81425,576.127590911666,32.31975,13.3055830748426,0.633842082133204,0.316810345353981,24.5795346006707,0.0645872176101796,-4.43667003412682e-10
"Spiro_C","2021-05-22 15:53:43",11.0164699074074,59,1,20,0,4.42627118644068,2.13183658743694,2412.10305084746,541.442266146486,23.025593220339,7.52876146593766,0.402051536691574,0.253992185768629,24.5795346006707,0.0645872176101796,-4.43667003412682e-10
"Spiro_C","2021-05-23 16:23:05",12.0368634259259,57,1,20,0,4.94561403508772,1.20599694613428,2136.16824561404,822.858416351898,35.5652631578947,13.6793794378441,0.679294769036509,0.303888896003344,24.5795346006707,0.0645872176101796,-4.43667003412682e-10
"Spiro_C","2021-05-24 15:03:03",12.9812847222222,61,1,20,0,4.88,0.820583125994355,2449.48098360656,630.455122113395,35.1331147540984,18.5171510174562,0.740934549527245,0.258859291696903,24.5795346006707,0.0645872176101796,-4.43667003412682e-10
"Spiro_C","2021-05-25 16:01:31",14.0218865740741,87,1,20,0,5.19068965517241,0.794054642111726,2179.32942528736,448.07099912993,32.0775862068966,10.8117599588679,0.67363227749698,0.288749444665346,24.5795346006707,0.0645872176101796,-4.43667003412682e-10
"Spiro_C","2021-05-26 16:57:13",15.0605671296296,85,1,20,0,6.09188235294118,0.86284205655834,2307.63764705882,472.866798710767,39.6697647058824,13.6451636274604,0.820514614174826,0.216087238168367,24.5795346006707,0.0645872176101796,-4.43667003412682e-10
"Spiro_C","2021-05-27 15:38:24",16.0058333333333,73,1,20,0,5.44972602739726,0.855563447551021,2626.91369863014,594.84860788623,49.8556164383562,13.0610863920168,0.818555088765322,0.234162333658883,24.5795346006707,0.0645872176101796,-4.43667003412682e-10
"Spiro_C","2021-05-28 16:50:29",17.0558912037037,84,1,20,0,5.81380952380952,1.12502198614329,2660.34666666667,633.284543331424,32.2004761904762,15.7130150109508,0.703329474999459,0.258978399330773,24.5795346006707,0.0645872176101796,-4.43667003412682e-10
"Spiro_C","2021-05-29 16:02:16",18.0224074074074,60,1,20,0,6.092,0.794621325442162,2312.41966666667,461.313073636941,35.7095,14.1373732876577,0.812239728286288,0.237514115743239,24.5795346006707,0.0645872176101796,-4.43667003412682e-10
"Spiro_C","2021-05-31 15:01:13",19.9800115740741,73,1,20,0,5.34794520547945,1.2880680612022,2585.59753424658,707.258826977988,30.4593150684932,12.8341382138038,0.702498354079637,0.266529346013386,24.5795346006707,0.0645872176101796,-4.43667003412682e-10
"Spiro_C","2021-06-02 14:46:40",21.9699074074074,36,1,20,0,5.17416666666667,0.763306248219827,3350.52055555556,793.994187117781,50.1936111111111,14.9102181938194,0.84587848599462,0.181820433294191,24.5795346006707,0.0645872176101796,-4.43667003412682e-10
"Spiro_C","2021-06-04 15:48:05",24.0125578703704,50,1,20,0,5.6524,1.07183337114973,2277.706,682.934930360223,33.1788,14.8776554330201,0.632619924477709,0.329598410917056,24.5795346006707,0.0645872176101796,-4.43667003412682e-10
"Spiro_C","2021-06-07 15:06:35",26.9837384259259,163,1,20,0,7.19938650306749,1.43955955766464,1426.79595092025,464.255944657869,39.24,14.4709613867493,0.751610529057952,0.269693156187516,24.5795346006707,0.0645872176101796,-4.43667003412682e-10
"Spiro_C","2021-06-09 14:49:18",28.9717361111111,119,1,20,0,5.50689075630252,1.39523022090285,1985.28966386555,545.457907883612,26.8700840336134,11.5974454738232,0.530906251297235,0.284475192759803,24.5795346006707,0.0645872176101796,-4.43667003412682e-10
"Spiro_C","2021-06-11 15:30:05",31.0000578703704,320,1,20,0,5.83696875,0.796001684926581,2634.62403125,511.011998290821,52.0108125,13.9010798151593,0.842514322863979,0.207755269232209,24.5795346006707,0.0645872176101796,-4.43667003412682e-10
"Spiro_C","2021-06-14 15:10:46",33.9866435185185,231,1,20,0,5.17805194805195,1.19138870993443,2234.6425974026,666.547784767485,32.2855844155844,13.6589113284593,0.589736003075779,0.296044180679842,24.5795346006707,0.0645872176101796,-4.43667003412682e-10
"Spiro_C","2021-06-16 14:56:40",35.9768518518519,160,1,20,0,5.453,1.00021243026688,2020.5076875,499.625876804441,33.256625,13.1216147901567,0.543785451090959,0.30483104908103,24.5795346006707,0.0645872176101796,-4.43667003412682e-10
"Spiro_C","2021-06-18 15:08:42",37.9852083333333,331,1,20,0,4.86202416918429,0.920971068223638,2150.16888217523,549.667009094532,33.9703021148036,10.1881073821227,0.549813639314472,0.278101386246632,24.5795346006707,0.0645872176101796,-4.43667003412682e-10
